ano,mes,mes_nome,bioma,total,total_acumulado
2019,2.0,fevereiro,mata_atlantica,290.0,560.0
2019,3.0,março,mata_atlantica,337.0,897.0
2019,4.0,abril,mata_atlantica,134.0,1031.0
2019,5.0,maio,mata_atlantica,193.0,1224.0
2019,6.0,junho,mata_atlantica,1593.0,2817.0
2019,7.0,julho,mata_atlantica,3323.0,6140.0
2019,8.0,agosto,mata_atlantica,4437.0,10577.0
2019,9.0,setembro,mata_atlantica,4443.0,15020.0
2019,10.0,outubro,mata_atlantica,2523.0,17543.0
2019,11.0,novembro,mata_atlantica,1401.0,18944.0
2019,12.0,dezembro,mata_atlantica,461.0,19405.0
2020,1.0,janeiro,mata_atlantica,481.0,481.0
2020,2.0,fevereiro,mata_atlantica,160.0,641.0
2020,3.0,março,mata_atlantica,239.0,880.0
2020,4.0,abril,mata_atlantica,2979.0,3859.0
2020,5.0,maio,mata_atlantica,837.0,4696.0
2020,6.0,junho,mata_atlantica,1911.0,6607.0
2020,7.0,julho,mata_atlantica,1706.0,8313.0
2020,8.0,agosto,mata_atlantica,3344.0,11657.0
2020,9.0,setembro,mata_atlantica,3398.0,15055.0
2020,10.0,outubro,mata_atlantica,2360.0,17415.0
2020,11.0,novembro,mata_atlantica,384.0,17799.0
2020,12.0,dezembro,mata_atlantica,129.0,17928.0
2021,1.0,janeiro,mata_atlantica,60.0,60.0
2021,2.0,fevereiro,mata_atlantica,187.0,247.0
2021,3.0,março,mata_atlantica,405.0,652.0
2021,4.0,abril,mata_atlantica,427.0,1079.0
2021,5.0,maio,mata_atlantica,1517.0,2596.0
2021,6.0,junho,mata_atlantica,1113.0,3709.0
2021,7.0,julho,mata_atlantica,4037.0,7746.0
2021,8.0,agosto,mata_atlantica,4682.0,12428.0
2021,9.0,setembro,mata_atlantica,6775.0,19203.0
2021,10.0,outubro,mata_atlantica,1272.0,20475.0
2021,11.0,novembro,mata_atlantica,272.0,20747.0
2021,12.0,dezembro,mata_atlantica,129.0,20876.0
2003,1.0,janeiro,pantanal,172.0,172.0
2003,2.0,fevereiro,pantanal,30.0,202.0
2003,3.0,março,pantanal,38.0,240.0
2003,4.0,abril,pantanal,56.0,296.0
2003,5.0,maio,pantanal,179.0,475.0
2003,6.0,junho,pantanal,260.0,735.0
2003,7.0,julho,pantanal,700.0,1435.0
2003,8.0,agosto,pantanal,1596.0,3031.0
2003,9.0,setembro,pantanal,3269.0,6300.0
2003,10.0,outubro,pantanal,1110.0,7410.0
2003,11.0,novembro,pantanal,468.0,7878.0
2003,12.0,dezembro,pantanal,34.0,7912.0
2004,1.0,janeiro,pantanal,255.0,255.0
2004,2.0,fevereiro,pantanal,165.0,420.0
2004,3.0,março,pantanal,130.0,550.0
2004,4.0,abril,pantanal,83.0,633.0
2004,5.0,maio,pantanal,47.0,680.0
2004,6.0,junho,pantanal,473.0,1153.0
2004,7.0,julho,pantanal,565.0,1718.0
2004,8.0,agosto,pantanal,2398.0,4116.0
2004,9.0,setembro,pantanal,10408.0,14524.0
2004,10.0,outubro,pantanal,3023.0,17547.0
2004,11.0,novembro,pantanal,312.0,17859.0
2004,12.0,dezembro,pantanal,233.0,18092.0
2005,1.0,janeiro,pantanal,2.0,2.0
2005,2.0,fevereiro,pantanal,70.0,72.0
2005,3.0,março,pantanal,97.0,169.0
2005,4.0,abril,pantanal,245.0,414.0
2005,5.0,maio,pantanal,716.0,1130.0
2005,6.0,junho,pantanal,3688.0,4818.0
2005,7.0,julho,pantanal,2886.0,7704.0
2005,8.0,agosto,pantanal,12515.0,20219.0
2005,9.0,setembro,pantanal,5633.0,25852.0
2005,10.0,outubro,pantanal,1377.0,27229.0
2005,11.0,novembro,pantanal,204.0,27433.0
2005,12.0,dezembro,pantanal,39.0,27472.0
2006,1.0,janeiro,pantanal,5.0,5.0
2006,2.0,fevereiro,pantanal,36.0,41.0
2006,3.0,março,pantanal,17.0,58.0
2006,4.0,abril,pantanal,8.0,66.0
2006,5.0,maio,pantanal,84.0,150.0
2006,6.0,junho,pantanal,503.0,653.0
2006,7.0,julho,pantanal,896.0,1549.0
2006,8.0,agosto,pantanal,2494.0,4043.0
2006,9.0,setembro,pantanal,2427.0,6470.0
2006,10.0,outubro,pantanal,404.0,6874.0
2006,11.0,novembro,pantanal,537.0,7411.0
2006,12.0,dezembro,pantanal,7.0,7418.0
2007,1.0,janeiro,pantanal,3.0,3.0
2007,2.0,fevereiro,pantanal,6.0,9.0
2007,3.0,março,pantanal,18.0,27.0
2007,4.0,abril,pantanal,98.0,125.0
2007,5.0,maio,pantanal,170.0,295.0
2007,6.0,junho,pantanal,479.0,774.0
2007,7.0,julho,pantanal,933.0,1707.0
2007,8.0,agosto,pantanal,3180.0,4887.0
2007,9.0,setembro,pantanal,10575.0,15462.0
2007,10.0,outubro,pantanal,2826.0,18288.0
2007,11.0,novembro,pantanal,358.0,18646.0
2007,12.0,dezembro,pantanal,53.0,18699.0
2008,1.0,janeiro,pantanal,8.0,8.0
2008,2.0,fevereiro,pantanal,15.0,23.0
2008,3.0,março,pantanal,22.0,45.0
2008,4.0,abril,pantanal,34.0,79.0
2008,5.0,maio,pantanal,73.0,152.0
2008,6.0,junho,pantanal,145.0,297.0
2008,7.0,julho,pantanal,733.0,1030.0
2008,8.0,agosto,pantanal,1475.0,2505.0
2008,9.0,setembro,pantanal,3983.0,6488.0
2008,10.0,outubro,pantanal,3068.0,9556.0
2008,11.0,novembro,pantanal,466.0,10022.0
2008,12.0,dezembro,pantanal,1231.0,11253.0
2009,1.0,janeiro,pantanal,612.0,612.0
2009,2.0,fevereiro,pantanal,183.0,795.0
2009,3.0,março,pantanal,119.0,914.0
2009,4.0,abril,pantanal,753.0,1667.0
2009,5.0,maio,pantanal,2047.0,3714.0
2009,6.0,junho,pantanal,678.0,4392.0
2009,7.0,julho,pantanal,744.0,5136.0
2009,8.0,agosto,pantanal,1645.0,6781.0
2009,9.0,setembro,pantanal,3452.0,10233.0
2009,10.0,outubro,pantanal,2737.0,12970.0
2009,11.0,novembro,pantanal,797.0,13767.0
2009,12.0,dezembro,pantanal,42.0,13809.0
2010,1.0,janeiro,pantanal,46.0,46.0
2010,2.0,fevereiro,pantanal,83.0,129.0
2010,3.0,março,pantanal,77.0,206.0
2010,4.0,abril,pantanal,222.0,428.0
2010,5.0,maio,pantanal,64.0,492.0
2010,6.0,junho,pantanal,1290.0,1782.0
2010,7.0,julho,pantanal,1358.0,3140.0
2010,8.0,agosto,pantanal,2542.0,5682.0
2010,9.0,setembro,pantanal,6989.0,12671.0
2010,10.0,outubro,pantanal,3059.0,15730.0
2010,11.0,novembro,pantanal,517.0,16247.0
2010,12.0,dezembro,pantanal,1496.0,17743.0
2011,1.0,janeiro,pantanal,84.0,84.0
2011,2.0,fevereiro,pantanal,4.0,88.0
2011,3.0,março,pantanal,,
2011,4.0,abril,pantanal,2.0,90.0
2011,5.0,maio,pantanal,13.0,103.0
2011,6.0,junho,pantanal,59.0,162.0
2011,7.0,julho,pantanal,262.0,424.0
2011,8.0,agosto,pantanal,695.0,1119.0
2011,9.0,setembro,pantanal,2117.0,3236.0
2011,10.0,outubro,pantanal,1003.0,4239.0
2011,11.0,novembro,pantanal,1618.0,5857.0
2011,12.0,dezembro,pantanal,1114.0,6971.0
2012,1.0,janeiro,pantanal,237.0,237.0
2012,2.0,fevereiro,pantanal,137.0,374.0
2012,3.0,março,pantanal,157.0,531.0
2012,4.0,abril,pantanal,61.0,592.0
2012,5.0,maio,pantanal,192.0,784.0
2012,6.0,junho,pantanal,159.0,943.0
2012,7.0,julho,pantanal,841.0,1784.0
2012,8.0,agosto,pantanal,4433.0,6217.0
2012,9.0,setembro,pantanal,4893.0,11110.0
2012,10.0,outubro,pantanal,1734.0,12844.0
2012,11.0,novembro,pantanal,241.0,13085.0
2012,12.0,dezembro,pantanal,181.0,13266.0
2013,1.0,janeiro,pantanal,120.0,120.0
2013,2.0,fevereiro,pantanal,102.0,222.0
2013,3.0,março,pantanal,200.0,422.0
2013,4.0,abril,pantanal,62.0,484.0
2013,5.0,maio,pantanal,98.0,582.0
2013,6.0,junho,pantanal,59.0,641.0
2013,7.0,julho,pantanal,147.0,788.0
2013,8.0,agosto,pantanal,430.0,1218.0
2013,9.0,setembro,pantanal,2878.0,4096.0
2013,10.0,outubro,pantanal,1133.0,5229.0
2013,11.0,novembro,pantanal,1005.0,6234.0
2013,12.0,dezembro,pantanal,341.0,6575.0
2014,1.0,janeiro,pantanal,58.0,58.0
2014,2.0,fevereiro,pantanal,74.0,132.0
2014,3.0,março,pantanal,8.0,140.0
2014,4.0,abril,pantanal,99.0,239.0
2014,5.0,maio,pantanal,8.0,247.0
2014,6.0,junho,pantanal,72.0,319.0
2014,7.0,julho,pantanal,109.0,428.0
2014,8.0,agosto,pantanal,268.0,696.0
2014,9.0,setembro,pantanal,521.0,1217.0
2014,10.0,outubro,pantanal,775.0,1992.0
2014,11.0,novembro,pantanal,176.0,2168.0
2014,12.0,dezembro,pantanal,23.0,2191.0
2015,1.0,janeiro,pantanal,112.0,112.0
2015,2.0,fevereiro,pantanal,69.0,181.0
2015,3.0,março,pantanal,19.0,200.0
2015,4.0,abril,pantanal,44.0,244.0
2015,5.0,maio,pantanal,54.0,298.0
2015,6.0,junho,pantanal,507.0,805.0
2015,7.0,julho,pantanal,279.0,1084.0
2015,8.0,agosto,pantanal,1985.0,3069.0
2015,9.0,setembro,pantanal,2478.0,5547.0
2015,10.0,outubro,pantanal,1057.0,6604.0
2015,11.0,novembro,pantanal,405.0,7009.0
2015,12.0,dezembro,pantanal,862.0,7871.0
2016,1.0,janeiro,pantanal,17.0,17.0
2016,2.0,fevereiro,pantanal,37.0,54.0
2016,3.0,março,pantanal,6.0,60.0
2016,4.0,abril,pantanal,41.0,101.0
2016,5.0,maio,pantanal,103.0,204.0
2016,6.0,junho,pantanal,159.0,363.0
2016,7.0,julho,pantanal,1056.0,1419.0
2016,8.0,agosto,pantanal,2166.0,3585.0
2016,9.0,setembro,pantanal,4656.0,8241.0
2016,10.0,outubro,pantanal,2594.0,10835.0
2016,11.0,novembro,pantanal,329.0,11164.0
2016,12.0,dezembro,pantanal,81.0,11245.0
2017,1.0,janeiro,pantanal,374.0,374.0
2017,2.0,fevereiro,pantanal,69.0,443.0
2017,3.0,março,pantanal,87.0,530.0
2017,4.0,abril,pantanal,30.0,560.0
2017,5.0,maio,pantanal,114.0,674.0
2017,6.0,junho,pantanal,171.0,845.0
2017,7.0,julho,pantanal,829.0,1674.0
2017,8.0,agosto,pantanal,2162.0,3836.0
2017,9.0,setembro,pantanal,4763.0,8599.0
2017,10.0,outubro,pantanal,1036.0,9635.0
2017,11.0,novembro,pantanal,187.0,9822.0
2017,12.0,dezembro,pantanal,7.0,9829.0
2018,1.0,janeiro,pantanal,22.0,22.0
2018,2.0,fevereiro,pantanal,,
2018,3.0,março,pantanal,7.0,29.0
2018,4.0,abril,pantanal,11.0,40.0
2018,5.0,maio,pantanal,53.0,93.0
2018,6.0,junho,pantanal,86.0,179.0
2018,7.0,julho,pantanal,318.0,497.0
2018,8.0,agosto,pantanal,669.0,1166.0
2018,9.0,setembro,pantanal,1583.0,2749.0
2018,10.0,outubro,pantanal,113.0,2862.0
2018,11.0,novembro,pantanal,3.0,2865.0
2018,12.0,dezembro,pantanal,229.0,3094.0
2019,1.0,janeiro,pantanal,531.0,531.0
2019,2.0,fevereiro,pantanal,538.0,1069.0
2019,3.0,março,pantanal,103.0,1172.0
2019,4.0,abril,pantanal,126.0,1298.0
2019,5.0,maio,pantanal,73.0,1371.0
2019,6.0,junho,pantanal,342.0,1713.0
2019,7.0,julho,pantanal,846.0,2559.0
2019,8.0,agosto,pantanal,3913.0,6472.0
2019,9.0,setembro,pantanal,6476.0,12948.0
2019,10.0,outubro,pantanal,5188.0,18136.0
2019,11.0,novembro,pantanal,2317.0,20453.0
2019,12.0,dezembro,pantanal,380.0,20833.0
2020,1.0,janeiro,pantanal,436.0,436.0
2020,2.0,fevereiro,pantanal,156.0,592.0
2020,3.0,março,pantanal,1036.0,1628.0
2020,4.0,abril,pantanal,2058.0,3686.0
2020,5.0,maio,pantanal,338.0,4024.0
2020,6.0,junho,pantanal,1076.0,5100.0
2020,7.0,julho,pantanal,3367.0,8467.0
2020,8.0,agosto,pantanal,10179.0,18646.0
2020,9.0,setembro,pantanal,14264.0,32910.0
2020,10.0,outubro,pantanal,5707.0,38617.0
2020,11.0,novembro,pantanal,1554.0,40171.0
2020,12.0,dezembro,pantanal,435.0,40606.0
2021,1.0,janeiro,pantanal,59.0,59.0
2021,2.0,fevereiro,pantanal,23.0,82.0
2021,3.0,março,pantanal,50.0,132.0
2021,4.0,abril,pantanal,111.0,243.0
2021,5.0,maio,pantanal,323.0,566.0
2021,6.0,junho,pantanal,434.0,1000.0
2021,7.0,julho,pantanal,1095.0,2095.0
2021,8.0,agosto,pantanal,3196.0,5291.0
2021,9.0,setembro,pantanal,8354.0,13645.0
2021,10.0,outubro,pantanal,4931.0,18576.0
2021,11.0,novembro,pantanal,318.0,18894.0
2021,12.0,dezembro,pantanal,325.0,19219.0
2003,1.0,janeiro,pampa,1.0,1.0
2003,2.0,fevereiro,pampa,3.0,4.0
2003,3.0,março,pampa,1.0,5.0
2003,4.0,abril,pampa,13.0,18.0
2003,5.0,maio,pampa,316.0,334.0
2003,6.0,junho,pampa,164.0,498.0
2003,7.0,julho,pampa,1504.0,2002.0
2003,8.0,agosto,pampa,383.0,2385.0
2003,9.0,setembro,pampa,86.0,2471.0
2003,10.0,outubro,pampa,6.0,2477.0
2003,11.0,novembro,pampa,6.0,2483.0
2003,12.0,dezembro,pampa,5.0,2488.0
2004,1.0,janeiro,pampa,13.0,13.0
2004,2.0,fevereiro,pampa,10.0,23.0
2004,3.0,março,pampa,55.0,78.0
2004,4.0,abril,pampa,281.0,359.0
2004,5.0,maio,pampa,84.0,443.0
2004,6.0,junho,pampa,553.0,996.0
2004,7.0,julho,pampa,349.0,1345.0
2004,8.0,agosto,pampa,155.0,1500.0
2004,9.0,setembro,pampa,18.0,1518.0
2004,10.0,outubro,pampa,51.0,1569.0
2004,11.0,novembro,pampa,10.0,1579.0
2004,12.0,dezembro,pampa,10.0,1589.0
2005,1.0,janeiro,pampa,20.0,20.0
2005,2.0,fevereiro,pampa,13.0,33.0
2005,3.0,março,pampa,362.0,395.0
2005,4.0,abril,pampa,32.0,427.0
2005,5.0,maio,pampa,72.0,499.0
2005,6.0,junho,pampa,320.0,819.0
2005,7.0,julho,pampa,194.0,1013.0
2005,8.0,agosto,pampa,90.0,1103.0
2005,9.0,setembro,pampa,17.0,1120.0
2005,10.0,outubro,pampa,8.0,1128.0
2005,11.0,novembro,pampa,13.0,1141.0
2005,12.0,dezembro,pampa,15.0,1156.0
2006,1.0,janeiro,pampa,21.0,21.0
2006,2.0,fevereiro,pampa,19.0,40.0
2006,3.0,março,pampa,78.0,118.0
2006,4.0,abril,pampa,99.0,217.0
2006,5.0,maio,pampa,435.0,652.0
2006,6.0,junho,pampa,235.0,887.0
2006,7.0,julho,pampa,536.0,1423.0
2006,8.0,agosto,pampa,410.0,1833.0
2006,9.0,setembro,pampa,20.0,1853.0
2006,10.0,outubro,pampa,,
2006,11.0,novembro,pampa,16.0,1869.0
2006,12.0,dezembro,pampa,1.0,1870.0
2007,1.0,janeiro,pampa,,
2007,2.0,fevereiro,pampa,1.0,1.0
2007,3.0,março,pampa,1.0,2.0
2007,4.0,abril,pampa,25.0,27.0
2007,5.0,maio,pampa,63.0,90.0
2007,6.0,junho,pampa,336.0,426.0
2007,7.0,julho,pampa,407.0,833.0
2007,8.0,agosto,pampa,110.0,943.0
2007,9.0,setembro,pampa,78.0,1021.0
2007,10.0,outubro,pampa,3.0,1024.0
2007,11.0,novembro,pampa,11.0,1035.0
2007,12.0,dezembro,pampa,4.0,1039.0
2008,1.0,janeiro,pampa,19.0,19.0
2008,2.0,fevereiro,pampa,33.0,52.0
2008,3.0,março,pampa,13.0,65.0
2008,4.0,abril,pampa,122.0,187.0
2008,5.0,maio,pampa,400.0,587.0
2008,6.0,junho,pampa,129.0,716.0
2008,7.0,julho,pampa,649.0,1365.0
2008,8.0,agosto,pampa,40.0,1405.0
2008,9.0,setembro,pampa,10.0,1415.0
2008,10.0,outubro,pampa,10.0,1425.0
2008,11.0,novembro,pampa,7.0,1432.0
2008,12.0,dezembro,pampa,20.0,1452.0
2009,1.0,janeiro,pampa,43.0,43.0
2009,2.0,fevereiro,pampa,10.0,53.0
2009,3.0,março,pampa,5.0,58.0
2009,4.0,abril,pampa,297.0,355.0
2009,5.0,maio,pampa,1248.0,1603.0
2009,6.0,junho,pampa,176.0,1779.0
2009,7.0,julho,pampa,207.0,1986.0
2009,8.0,agosto,pampa,201.0,2187.0
2009,9.0,setembro,pampa,5.0,2192.0
2009,10.0,outubro,pampa,1.0,2193.0
2009,11.0,novembro,pampa,,
2009,12.0,dezembro,pampa,12.0,2205.0
2010,1.0,janeiro,pampa,8.0,8.0
2010,2.0,fevereiro,pampa,1.0,9.0
2010,3.0,março,pampa,14.0,23.0
2010,4.0,abril,pampa,105.0,128.0
2010,5.0,maio,pampa,95.0,223.0
2010,6.0,junho,pampa,79.0,302.0
2010,7.0,julho,pampa,141.0,443.0
2010,8.0,agosto,pampa,271.0,714.0
2010,9.0,setembro,pampa,34.0,748.0
2010,10.0,outubro,pampa,33.0,781.0
2010,11.0,novembro,pampa,5.0,786.0
2010,12.0,dezembro,pampa,25.0,811.0
2011,1.0,janeiro,pampa,3.0,3.0
2011,2.0,fevereiro,pampa,,
2011,3.0,março,pampa,7.0,10.0
2011,4.0,abril,pampa,55.0,65.0
2011,5.0,maio,pampa,144.0,209.0
2011,6.0,junho,pampa,158.0,367.0
2011,7.0,julho,pampa,253.0,620.0
2011,8.0,agosto,pampa,144.0,764.0
2011,9.0,setembro,pampa,44.0,808.0
2011,10.0,outubro,pampa,8.0,816.0
2011,11.0,novembro,pampa,11.0,827.0
2011,12.0,dezembro,pampa,3.0,830.0
2012,1.0,janeiro,pampa,47.0,47.0
2012,2.0,fevereiro,pampa,38.0,85.0
2012,3.0,março,pampa,44.0,129.0
2012,4.0,abril,pampa,27.0,156.0
2012,5.0,maio,pampa,761.0,917.0
2012,6.0,junho,pampa,440.0,1357.0
2012,7.0,julho,pampa,349.0,1706.0
2012,8.0,agosto,pampa,236.0,1942.0
2012,9.0,setembro,pampa,13.0,1955.0
2012,10.0,outubro,pampa,6.0,1961.0
2012,11.0,novembro,pampa,3.0,1964.0
2012,12.0,dezembro,pampa,6.0,1970.0
2013,1.0,janeiro,pampa,11.0,11.0
2013,2.0,fevereiro,pampa,35.0,46.0
2013,3.0,março,pampa,69.0,115.0
2013,4.0,abril,pampa,21.0,136.0
2013,5.0,maio,pampa,61.0,197.0
2013,6.0,junho,pampa,42.0,239.0
2013,7.0,julho,pampa,303.0,542.0
2013,8.0,agosto,pampa,165.0,707.0
2013,9.0,setembro,pampa,30.0,737.0
2013,10.0,outubro,pampa,15.0,752.0
2013,11.0,novembro,pampa,17.0,769.0
2013,12.0,dezembro,pampa,14.0,783.0
2014,1.0,janeiro,pampa,3.0,3.0
2014,2.0,fevereiro,pampa,9.0,12.0
2014,3.0,março,pampa,14.0,26.0
2014,4.0,abril,pampa,36.0,62.0
2014,5.0,maio,pampa,57.0,119.0
2014,6.0,junho,pampa,31.0,150.0
2014,7.0,julho,pampa,376.0,526.0
2014,8.0,agosto,pampa,217.0,743.0
2014,9.0,setembro,pampa,6.0,749.0
2014,10.0,outubro,pampa,13.0,762.0
2014,11.0,novembro,pampa,,
2014,12.0,dezembro,pampa,,
2015,1.0,janeiro,pampa,4.0,4.0
2015,2.0,fevereiro,pampa,2.0,6.0
2015,3.0,março,pampa,24.0,30.0
2015,4.0,abril,pampa,144.0,174.0
2015,5.0,maio,pampa,614.0,788.0
2015,6.0,junho,pampa,260.0,1048.0
2015,7.0,julho,pampa,111.0,1159.0
2015,8.0,agosto,pampa,148.0,1307.0
2015,9.0,setembro,pampa,30.0,1337.0
2015,10.0,outubro,pampa,12.0,1349.0
2015,11.0,novembro,pampa,,
2015,12.0,dezembro,pampa,1.0,1350.0
2016,1.0,janeiro,pampa,6.0,6.0
2016,2.0,fevereiro,pampa,19.0,25.0
2016,3.0,março,pampa,13.0,38.0
2016,4.0,abril,pampa,8.0,46.0
2016,5.0,maio,pampa,61.0,107.0
2016,6.0,junho,pampa,671.0,778.0
2016,7.0,julho,pampa,323.0,1101.0
2016,8.0,agosto,pampa,328.0,1429.0
2016,9.0,setembro,pampa,46.0,1475.0
2016,10.0,outubro,pampa,34.0,1509.0
2016,11.0,novembro,pampa,4.0,1513.0
2016,12.0,dezembro,pampa,14.0,1527.0
2017,1.0,janeiro,pampa,7.0,7.0
2017,2.0,fevereiro,pampa,12.0,19.0
2017,3.0,março,pampa,5.0,24.0
2017,4.0,abril,pampa,23.0,47.0
2017,5.0,maio,pampa,90.0,137.0
2017,6.0,junho,pampa,283.0,420.0
2017,7.0,julho,pampa,942.0,1362.0
2017,8.0,agosto,pampa,188.0,1550.0
2017,9.0,setembro,pampa,15.0,1565.0
2017,10.0,outubro,pampa,12.0,1577.0
2017,11.0,novembro,pampa,12.0,1589.0
2017,12.0,dezembro,pampa,19.0,1608.0
2018,1.0,janeiro,pampa,17.0,17.0
2018,2.0,fevereiro,pampa,21.0,38.0
2018,3.0,março,pampa,32.0,70.0
2018,4.0,abril,pampa,76.0,146.0
2018,5.0,maio,pampa,130.0,276.0
2018,6.0,junho,pampa,93.0,369.0
2018,7.0,julho,pampa,85.0,454.0
2018,8.0,agosto,pampa,125.0,579.0
2018,9.0,setembro,pampa,4.0,583.0
2018,10.0,outubro,pampa,19.0,602.0
2018,11.0,novembro,pampa,5.0,607.0
2018,12.0,dezembro,pampa,8.0,615.0
2019,1.0,janeiro,pampa,4.0,4.0
2019,2.0,fevereiro,pampa,15.0,19.0
2019,3.0,março,pampa,32.0,51.0
2019,4.0,abril,pampa,55.0,106.0
2019,5.0,maio,pampa,25.0,131.0
2019,6.0,junho,pampa,184.0,315.0
2019,7.0,julho,pampa,712.0,1027.0
2019,8.0,agosto,pampa,260.0,1287.0
2019,9.0,setembro,pampa,59.0,1346.0
2019,10.0,outubro,pampa,21.0,1367.0
2019,11.0,novembro,pampa,13.0,1380.0
2019,12.0,dezembro,pampa,16.0,1396.0
2020,1.0,janeiro,pampa,19.0,19.0
2020,2.0,fevereiro,pampa,26.0,45.0
2020,3.0,março,pampa,200.0,245.0
2020,4.0,abril,pampa,4424.0,4669.0
2020,5.0,maio,pampa,669.0,5338.0
2020,6.0,junho,pampa,344.0,5682.0
2020,7.0,julho,pampa,151.0,5833.0
2020,8.0,agosto,pampa,200.0,6033.0
2020,9.0,setembro,pampa,11.0,6044.0
2020,10.0,outubro,pampa,27.0,6071.0
2020,11.0,novembro,pampa,18.0,6089.0
2020,12.0,dezembro,pampa,24.0,6113.0
2021,1.0,janeiro,pampa,21.0,21.0
2021,2.0,fevereiro,pampa,15.0,36.0
2021,3.0,março,pampa,28.0,64.0
2021,4.0,abril,pampa,137.0,201.0
2021,5.0,maio,pampa,431.0,632.0
2021,6.0,junho,pampa,37.0,669.0
2021,7.0,julho,pampa,349.0,1018.0
2021,8.0,agosto,pampa,123.0,1141.0
2021,9.0,setembro,pampa,9.0,1150.0
2021,10.0,outubro,pampa,15.0,1165.0
2021,11.0,novembro,pampa,30.0,1195.0
2021,12.0,dezembro,pampa,33.0,1228.0
